code,biz,cluster
000001,经有关监管机构批准的各项商业银行业务商业银行业务,金融
000002,房地产开发和物业服务商品住宅,房地产/建筑
000062,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交,半导体/电子
000568,“国窖1573”、“泸州老窖”等系列白酒的研发、生产和销售。中高档酒类、其他酒类,白酒/食品饮料
000596,白酒的生产和销售。年份原浆、古井贡酒、黄鹤楼及其他,白酒/食品饮料
000661,"以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。注射用人生长激素、重组人生长激素注射液、注射用重组人促卵泡激素、重组人促",医药生物
000733,一是以移动通信终端、电子电话机、通信天线等为主的专用整机板块；二是以片式电阻、电容、电感、半导体二三极管、集成电路等为主的高新电子板块；三是以高压真空灭弧室、手,半导体/电子
000799,从事生产、销售曲酒系列产品。内参系列、酒鬼系列、湘泉系列、其他系列,白酒/食品饮料
000858,“五粮液”及其系列白酒的生产和销售五粮液酒,白酒/食品饮料
002048,从事汽车零部件的开发、生产和销售汽车内外饰系统、车身金属件、电子电器附件,汽车/零部件
002129,单晶硅材料和半导体器件的研发、生产和销售光伏硅片、光伏组件、半导体材料、光伏电站,半导体/电子
002252,生产和销售血液制品人血白蛋白、静注人免疫球蛋白、特异性免疫球蛋白、凝血因子类产品,其他
002271,从事新型建筑防水材料的研发、生产、销售及防水工程施工业务。建筑防水材料、砂浆粉料、建筑装饰涂料、建筑节能材料、胶粘剂、管业、非织造布、特种薄膜、乳液,化工/新材料
002292,动漫影视片制作、发行、授权以及动漫玩具和非动漫玩具的开发、生产与销售、媒体广告的经营。IP内容业务、潮玩业务、玩具业务、婴童业务,互联网/软件
002371,半导体基础产品的研发、生产、销售和技术服务。半导体装备、真空新能源装备、电阻、电容、晶体器件、模块电源、微波组件,半导体/电子
002460,各种深加工锂产品的研究、开发、生产与销售锂系列产品、锂电池系列产品,新能源/电池
002466,锂精矿及锂化工产品的生产、加工和销售。化学级锂精矿、技术级锂精矿、碳酸锂、氢氧化锂、金属锂、氯化锂,化工/新材料
002475,连接器产品研发、生产和销售消费电子、汽车电子、通讯及数据中心,汽车/零部件
002709,精细化工新材料的研发、生产和销售。锂离子电池材料、日化材料及特种化学品,化工/新材料
002714,生猪的养殖与销售商品猪、仔猪、种猪、白条、分割品、副产品,农业
002812,提供多种包装印刷产品、包装制品及服务；锂电池隔离膜、铝塑膜、水处理膜等领域锂电池隔离膜、BOPP薄膜、无菌包装,新能源/电池
300014,锂原电池、锂离子电池、电子产品和电子烟锂原电池、小型锂离子电池、圆柱电池、软包三元电池、方形三元电池、大圆柱电池、大方形电池、方形磷酸铁锂电池、圆柱铁锂电池,新能源/电池
300015,眼科医疗服务与视光医疗服务屈光项目、白内障项目、眼前段项目、眼后段项目、视光服务项目,医药生物
300024,零部件、机器人、特种机器人及工业4.0工业机器人、物流与仓储自动化成套装备、自动化装配与检测生产线及系统集成、交通自动化系统、半导体装备,机械/装备制造
300059,金融数据服务、广告业务服务、金融电子商务服务、证券经纪、证券自营等证券公司业务证券业务、金融电子商务服务业务、金融数据服务业务,互联网/软件
300122,疫苗、生物制品的研发、生产和销售盟威克、盟纳康、喜菲贝、盟纳克、智克威得、宜卡、微卡、优威克、四价流感病毒裂解疫苗、佳达修、佳达修9、乐儿德、纽莫法、维康特、欣,医药生物
300142,人用疫苗产品研发、生产、销售13价肺炎结合疫苗、双价HPV疫苗、23价肺炎多糖疫苗、b型流感嗜血杆菌结合疫苗、A群C群脑膜炎球菌多糖结合疫苗、ACYW135群脑,医药生物
300168,提供智慧城市中的软件开发、服务和整体解决方案。智慧卫健、智慧医保、医药、智慧医疗、康养管理、智慧政务、市民云、网信集成业务、信息安全业务、数智治理业务,互联网/软件
300274,太阳能、风能、储能、电动汽车等新能源电源设备的研发、生产、销售和服务微型逆变器、户用逆变器、组串逆变器、集中逆变器、模块化逆变器、PowerTitan 3.0交,新能源/电池
300308,高端光通信收发模块以及光器件的研发、生产及销售。光通信收发模块、光组件、汽车光电子,汽车/零部件
300347,为医药产品研发提供I至IV期临床试验技术服务、数据管理、统计分析、注册申报、中心检测、医学影像、健康咨询等临床研究服务临床运营、临床药理、注册与法规事务、科学事,医药生物
300394,光通信领域从事光器件的研发、生产和销售。精密微光学组件解决方案、波分复用系统级无源解决方案、高精度封装解决方案、数据中心AOC配套无源解决方案、数据中心PSM/,半导体/电子
300476,高密度印制线路板的研发、生产和销售刚性电路板（多层板和HDI为核心）、柔性电路板（单双面板、多层板、刚挠结合板）,半导体/电子
300502,光模块的研发及制造光互联产品,通信
300750,"专注于新能源汽车动力电池系统、储能系统的研发、生产和销售,致力于为全球新能源应用提供一流解决方案动力电池系统、储能电池系统、电池材料、回收及矿产资源",新能源/电池
600000,提供银行及相关金融服务相关金融服务,金融
600028,(1)勘探、开发及生产原油及天然气;(2)炼油、运输、储存及营销原油及石油产品;及(3)生产及销售化工产品。原油、天然气、汽油、柴油、煤油、基础化工原料、合纤单,化工/新材料
600030,提供证券经纪、投资银行、资产管理及相关金融服务。经纪业务、资产管理、证券投资、证券承销,金融
600031,工程机械装备的研发、制造、销售和服务混凝土机械、挖掘机械、起重机械、桩工机械、路面机械,机械/装备制造
600036,从事银行业及相关金融服务。零售金融业务、批发金融业务、其他业务,金融
600053,私募股权投资管理业务；房地产开发及经营私募股权投资、房地产、建筑施工业务,房地产/建筑
600058,主要从事资源贸易、金属贸易、供应链服务。资源贸易、金属贸易、供应链服务,其他
600062,主要从事药品开发、制造和销售缬沙坦、氨氯地平、普瑞巴林、氨苯蝶啶、喷他佐辛、匹伐他汀、素钠、依诺肝素原料、辅酶Q10、S-Na盐,医药生物
600075,氯碱化工业务。聚氯乙烯、烧碱,化工/新材料
600079,医药产业产品的生产、研发和销售等。枸橼酸舒芬太尼注射液、注射用盐酸瑞芬太尼、盐酸氢吗啡酮注射液、盐酸纳布啡注射液、盐酸阿芬太尼注射液、注射用苯磺酸瑞马唑仑、米非,医药生物
600089,输变电业务、新能源业务、能源业务及新材料业务。变压器、电抗器、电线电缆、多晶硅相关产品、煤炭产品、黄金产品、铝电子新材料、铝及合金制品、电力产品、输变电成套工程,有色金属/采矿
600104,汽车，摩托车，拖拉机等各种机动车整车，机械设备，总成及零部件的生产、销售，期刊出版，利用自有媒体发布广告，实业投资，货物及技术进出口业务，汽车租赁及机械设备租赁,汽车/零部件
600108,农产品开发、种植、收购与销售牧草、辣椒产品、商品玉米、马铃薯、食葵、制种玉米、果品、啤酒花,白酒/食品饮料
600117,黑色金属的冶炼和压延加工业务。销售房屋、合结钢、碳结钢、滚珠钢、合工钢、碳工钢,其他
600118,卫星研制和卫星应用宇航制造业务、卫星应用技术设备、卫星应用服务,其他
